customer_city,customer_state,customer_count
sao paulo,SP,14352
rio de janeiro,RJ,6248
belo horizonte,MG,2426
brasilia,DF,1778
curitiba,PR,1421
porto alegre,RS,1311
campinas,SP,1304
salvador,BA,1148
guarulhos,SP,1067
sao bernardo do campo,SP,839
niteroi,RJ,814
osasco,SP,694
santo andre,SP,690
santos,SP,662
goiania,GO,660
sao jose dos campos,SP,608
recife,PE,588
fortaleza,CE,566
sorocaba,SP,545
florianopolis,SC,540
jundiai,SP,527
ribeirao preto,SP,475
juiz de fora,MG,397
contagem,MG,390
nova iguacu,RJ,376
belem,PA,373
mogi das cruzes,SP,369
barueri,SP,364
vitoria,ES,354
praia grande,SP,345
sao goncalo,RJ,343
uberlandia,MG,319
sao luis,MA,310
piracicaba,SP,308
sao jose do rio preto,SP,291
vila velha,ES,275
diadema,SP,274
campo grande,MS,271
carapicuiba,SP,268
maua,SP,265
duque de caxias,RJ,263
indaiatuba,SP,261
joao pessoa,PB,260
serra,ES,250
taboao da serra,SP,246
teresina,PI,244
maringa,PR,243
petropolis,RJ,243
sao caetano do sul,SP,240
londrina,PR,239
taubate,SP,239
cuiaba,MT,238
bauru,SP,232
cotia,SP,222
sao carlos,SP,219
suzano,SP,217
macae,RJ,215
americana,SP,212
caxias do sul,RS,207
guaruja,SP,206
canoas,RS,204
joinville,SC,202
campos dos goytacazes,RJ,197
aracaju,SE,196
volta redonda,RJ,196
maceio,AL,193
uberaba,MG,187
feira de santana,BA,185
montes claros,MG,179
jacarei,SP,177
natal,RN,173
limeira,SP,170
santa maria,RS,170
atibaia,SP,169
valinhos,SP,167
sumare,SP,166
betim,MG,163
blumenau,SC,163
franca,SP,163
santana de parnaiba,SP,163
itaquaquecetuba,SP,159
pelotas,RS,158
ipatinga,MG,154
marilia,SP,148
sao vicente,SP,143
sao jose,SC,142
itapevi,SP,141
araraquara,SP,140
nova friburgo,RJ,139
ponta grossa,PR,139
cascavel,PR,138
paulinia,SP,137
rio claro,SP,137
manaus,AM,131
divinopolis,MG,129
embu das artes,SP,129
pocos de caldas,MG,127
sao joao de meriti,RJ,126
presidente prudente,SP,125
aracatuba,SP,124
hortolandia,SP,123
cariacica,ES,122
sao jose dos pinhais,PR,121
governador valadares,MG,120
braganca paulista,SP,119
marica,RJ,117
rio das ostras,RJ,115
porto velho,RO,114
cabo frio,RJ,111
pouso alegre,MG,111
