customer_zip_code_prefix,customer_count
46550,184
62190,129
4068,124
13044,119
7813,115
23028,101
30662,100
89970,90
29192,90
70238,89
89176,85
92323,82
72546,82
8571,80
1501,80
15102,79
4567,79
2185,79
83203,77
58540,75
89111,73
45455,73
6010,72
3553,72
50741,70
12324,70
9785,70
5707,70
1534,70
40220,69
81315,66
54250,66
33930,66
9445,65
27947,64
79903,63
29020,62
82920,61
48730,61
21550,61
18108,61
17505,61
66035,60
36760,60
66025,59
32315,59
2363,59
85835,58
72502,58
7991,58
26535,57
1243,57
57520,56
4274,56
62030,55
56828,55
39530,55
13857,55
3471,55
44670,54
36404,54
30644,54
77600,53
66635,53
6142,53
70756,52
55250,51
48370,51
38706,51
65606,50
21236,50
2525,50
89818,49
68665,49
41311,49
39780,49
38745,49
17603,49
16013,49
9603,49
3063,49
2611,49
1223,49
88865,48
77780,48
39340,48
25560,48
11664,48
6810,48
4843,48
3871,48
95044,47
90430,47
74660,47
22740,47
86700,46
82100,46
38447,46
26572,46
18270,46
3893,46
3505,46
86701,45
68148,45
33120,45
24431,45
22776,45
4429,45
89253,44
89110,44
79640,44
66810,44
65220,44
55016,44
21630,44
17533,44
9260,44
7197,44
97700,43
75110,43
70336,43
64090,43
58429,43
58195,43
40391,43
39723,43
35140,43
31814,43
27420,43
11010,43
4308,43
2533,43
31980,42
8343,42
3185,42
77425,41
72150,41
58396,41
53320,41
53160,41
51350,41
30570,41
23911,41
22753,41
11711,41
9160,41
3710,41
1233,41
95580,40
88101,40
78240,40
66115,40
62580,40
58305,40
48840,40
38415,40
32150,40
28910,40
26051,40
13973,40
13341,40
12924,40
5397,40
4165,40
93819,39
81460,39
78335,39
76300,39
60742,39
48895,39
44180,39
36913,39
20051,39
94451,38
89031,38
88868,38
81470,38
79134,38
78559,38
71065,38
64212,38
37245,38
18087,38
12228,38
85670,37
68640,37
26440,37
25940,37
23070,37
14800,37
12287,37
6310,37
4556,37
3962,37
3912,37
91180,36
89520,36
81290,36
70278,36
47806,36
36050,36
19050,36
7911,36
2631,36
96925,35
88790,35
79040,35
77026,35
70770,35
65042,35
59295,35
56760,35
49009,35
42843,35
38406,35
37795,35
27536,35
12230,35
11618,35
11082,35
9607,35
8110,35
5894,35
4470,35
4267,35
3401,35
96214,34
75901,34
72602,34
57180,34
55420,34
55410,34
49680,34
41130,34
31930,34
27570,34
18602,34
16430,34
15920,34
12236,34
11081,34
5847,34
4931,34
4282,34
3191,34
3081,34
97547,33
95920,33
89285,33
89180,33
88350,33
77423,33
74633,33
69086,33
68560,33
66823,33
64870,33
59700,33
38240,33
26540,33
18405,33
16130,33
8042,33
5569,33
4846,33
4195,33
2670,33
1549,33
99600,32
99030,32
79700,32
75906,32
70253,32
58082,32
51111,32
49270,32
36328,32
27523,32
26196,32
7064,32
3963,32
3645,32
2017,32
1330,32
89765,31
82940,31
78099,31
70344,31
64645,31
58027,31
45810,31
26113,31
14500,31
9783,31
95585,30
93050,30
89202,30
79415,30
76630,30
75530,30
75106,30
72280,30
63600,30
63580,30
59012,30
53080,30
40260,30
37855,30
25926,30
22245,30
21870,30
13971,30
11380,30
9635,30
8795,30
5085,30
3380,30
3136,30
3105,30
2261,30
99712,29
96490,29
96010,29
89865,29
86290,29
80310,29
64049,29
58338,29
54789,29
45823,29
44571,29
44035,29
43815,29
42701,29
39472,29
36090,29
