product_category_name,unique_product_count
toys,20609
bed_bath_table,654
sports_leisure,624
furniture_decor,567
health_beauty,530
housewares,513
auto,384
computers_accessories,363
watches_gifts,266
telephony,257
baby,208
stationery,191
fashion_bags_accessories,190
perfumery,189
cool_stuff,169
pet_shop,154
garden_tools,147
,141
electronics,133
office_furniture,86
luggage_accessories,86
construction_tools_construction,79
home_appliances,75
consoles_games,67
musical_instruments,64
home_construction,53
small_appliances,48
books_general_interest,37
fashion_shoes,36
air_conditioning,36
furniture_living_room,34
books_technical,31
fixed_telephony,29
signaling_and_security,26
costruction_tools_garden,25
market_place,24
home_appliances_2,23
kitchen_dining_laundry_garden_furniture,21
home_confort,19
food_drink,19
construction_tools_lights,19
fashion_male_clothing,18
agro_industry_and_commerce,18
food,16
audio,16
drinks,15
construction_tools_safety,14
christmas_supplies,13
industry_commerce_and_business,12
art,12
fashion_underwear_beach,10
dvds_blu_ray,9
books_imported,9
costruction_tools_tools,7
party_supplies,6
music,6
furniture_bedroom,6
computers,6
small_appliances_home_oven_and_coffee,5
cine_photo,5
tablets_printing_image,4
arts_and_craftmanship,4
la_cuisine,3
flowers,2
fashion_sport,2
fashio_female_clothing,2
security_and_services,1
home_comfort_2,1
furniture_mattress_and_upholstery,1
fashion_childrens_clothes,1
diapers_and_hygiene,1
