customer_id,total_spent,spending_tier
bmv1Lg65SUWP,7274.88,High Spender
Nz66V2TeAxAX,6929.31,High Spender
oW2VygXvCSzO,6922.21,High Spender
H1deBLRJV7r9,6922.21,High Spender
r6BPYyzgP2BJ,6726.66,High Spender
sCMzIYs0fdq8,6081.54,High Spender
Cvkab0E6JBdW,6081.54,High Spender
CPjSUsnYD1a2,6081.54,High Spender
tMTwejm7Q4GO,4950.34,Medium Spender
X1DMBj8SSAdS,4950.34,Medium Spender
DZfMU81SCojP,4950.34,Medium Spender
D8Jv4fSRxAar,4950.34,Medium Spender
CPhZnWwAmVFJ,4950.34,Medium Spender
HaK9HfDMLVqN,4809.44,Medium Spender
1bWkY02hiYpt,4809.44,Medium Spender
ySPb3A5hxWiV,4764.34,Medium Spender
j44BNkT0SJVA,4764.34,Medium Spender
iAYS7TxWI1zt,4764.34,Medium Spender
f4P26LX5g98u,4764.34,Medium Spender
aZKfNe6WVOKD,4764.34,Medium Spender
Ly1JjCuOVHk3,4764.34,Medium Spender
JH6pmnAIbSGf,4764.34,Medium Spender
frSMvR0iGlMe,4681.78,Medium Spender
TQKwRo21LTQZ,4681.78,Medium Spender
DZB1gaoCaJCR,4681.78,Medium Spender
B718EDMCyrl5,4681.78,Medium Spender
80UbZXdZ4Mt5,4681.78,Medium Spender
1uSe30FJ6Tbw,4681.78,Medium Spender
3KPd8U1FZHvU,4513.32,Medium Spender
qOjvguhCeVsW,4445.5,Medium Spender
gzDIcZvmlzoL,4445.5,Medium Spender
N6BHLhxxoLAv,4445.5,Medium Spender
4Lii3MTVWYqu,4175.26,Medium Spender
xxs6yfLT3HRW,4042.74,Medium Spender
aOyh408a0Zs9,4042.74,Medium Spender
GbK7zfL7JlnO,4042.74,Medium Spender
5bX85ZW6WZaq,4042.74,Medium Spender
rTCPi6yqvHEp,4016.91,Medium Spender
c6lgpF3qIWva,4016.91,Medium Spender
Zaov8cN2lndJ,4016.91,Medium Spender
ynpJmjeGaUp0,3979.55,Medium Spender
xw4OGBREjJ2X,3979.55,Medium Spender
TVQMjkj7NJWM,3979.55,Medium Spender
9eQF22Ttk6GJ,3979.55,Medium Spender
5FC3EkPrNenP,3979.55,Medium Spender
x1km0QMHvgAB,3899.0,Medium Spender
L2cFJJ3UNriF,3899.0,Medium Spender
C3GPQm5ANgzl,3899.0,Medium Spender
39IOPuAt0wUv,3899.0,Medium Spender
43t3NXJHVe0b,3826.8,Medium Spender
nGKL8vTznBrp,3792.59,Medium Spender
jX5n5F6R3Wpu,3736.22,Medium Spender
zBpkhkqyu8GP,3666.42,Medium Spender
ZFq8qOAH5cs4,3666.42,Medium Spender
0RuElIt5nlY9,3666.42,Medium Spender
jOhPLcqysVkQ,3602.47,Medium Spender
rNnJEHnxJU9A,3526.46,Medium Spender
CfoTf3E6gKjD,3526.46,Medium Spender
PscRH0kRI6vR,3406.47,Medium Spender
tnE3TdiGot6y,3358.24,Medium Spender
aw8glNhxlTUg,3358.24,Medium Spender
OFyDQnUo41Hg,3358.24,Medium Spender
E4WK3290AvOh,3358.24,Medium Spender
5qA2NxmBdyYl,3358.24,Medium Spender
xdfxQkpj1eKr,3256.14,Medium Spender
uglFFO2LhTQk,3256.14,Medium Spender
tKpvUYz9sf2e,3256.14,Medium Spender
eiu0epKaePeS,3256.14,Medium Spender
LW7jOUQsTDWw,3256.14,Medium Spender
1YuZ9jUsr8Sb,3256.14,Medium Spender
Mi93YQ26qL2N,3242.84,Medium Spender
FOXua9ILyXHK,3242.84,Medium Spender
aYP4tDaXdTc6,3209.72,Medium Spender
UaaamaXukt3h,3184.55,Medium Spender
H5FpjC94rwbg,3184.55,Medium Spender
OSToCbRwH4l5,3184.34,Medium Spender
DvK54gg0oGGa,3155.82,Medium Spender
3QnWtoHu267e,3155.82,Medium Spender
RPPRaIBR8My1,3126.5,Medium Spender
wgj4ZvQk9rOJ,3122.72,Medium Spender
cJU2H7FjjKiY,3076.13,Medium Spender
zrOfEzeC3NZS,3048.27,Medium Spender
vtagvKkvZpLj,3048.27,Medium Spender
musSkaau7B7t,3048.27,Medium Spender
kx8gkIPwgMml,3048.27,Medium Spender
jWFx7I5e9IhB,3048.27,Medium Spender
hw0YWH3GIzNT,3048.27,Medium Spender
biQFPLfcaLgo,3048.27,Medium Spender
UkRbZNI1jVXE,3048.27,Medium Spender
0p5uIH1HzL8o,3048.27,Medium Spender
GZ866rsVnLZq,3041.73,Medium Spender
wC0BDHAstEqN,3024.08,Medium Spender
b1peQ9XyEZ6i,3024.08,Medium Spender
BRa4d3QEPKEA,3018.6,Medium Spender
tm9oM4YPw57O,3016.01,Medium Spender
poNkt9MhKN7X,3016.01,Medium Spender
bry2L3vvWpEJ,3016.01,Medium Spender
VVlDehqpkhYm,3016.01,Medium Spender
VBVu9DeU52WB,3016.01,Medium Spender
UukoqFFnl7Fk,3016.01,Medium Spender
OGeKp6EQ4jgg,3016.01,Medium Spender
Lg8ea4WZ9WLD,3016.01,Medium Spender
8IHNR5c54hci,3016.01,Medium Spender
2AeWdoReiZyq,3016.01,Medium Spender
wPrydMXoRkAf,3009.53,Medium Spender
kSoHzbViRklm,3009.53,Medium Spender
XLr3cCDwah6h,3009.53,Medium Spender
zlJjvXW5VbiW,3005.06,Medium Spender
qtjKynqmmKuY,3005.06,Medium Spender
pWAuPfSYnNZb,3005.06,Medium Spender
jgtxxPavTkN3,3005.06,Medium Spender
atUnwM5NfTj0,3005.06,Medium Spender
