customer_id,total_spent
bmv1Lg65SUWP,7274.88
Nz66V2TeAxAX,6929.31
oW2VygXvCSzO,6922.21
H1deBLRJV7r9,6922.21
r6BPYyzgP2BJ,6726.66
sCMzIYs0fdq8,6081.54
Cvkab0E6JBdW,6081.54
CPjSUsnYD1a2,6081.54
tMTwejm7Q4GO,4950.34
X1DMBj8SSAdS,4950.34
DZfMU81SCojP,4950.34
D8Jv4fSRxAar,4950.34
CPhZnWwAmVFJ,4950.34
HaK9HfDMLVqN,4809.44
1bWkY02hiYpt,4809.44
ySPb3A5hxWiV,4764.34
j44BNkT0SJVA,4764.34
iAYS7TxWI1zt,4764.34
f4P26LX5g98u,4764.34
aZKfNe6WVOKD,4764.34
Ly1JjCuOVHk3,4764.34
JH6pmnAIbSGf,4764.34
frSMvR0iGlMe,4681.78
TQKwRo21LTQZ,4681.78
DZB1gaoCaJCR,4681.78
B718EDMCyrl5,4681.78
80UbZXdZ4Mt5,4681.78
1uSe30FJ6Tbw,4681.78
3KPd8U1FZHvU,4513.32
qOjvguhCeVsW,4445.5
gzDIcZvmlzoL,4445.5
N6BHLhxxoLAv,4445.5
4Lii3MTVWYqu,4175.26
xxs6yfLT3HRW,4042.74
aOyh408a0Zs9,4042.74
GbK7zfL7JlnO,4042.74
5bX85ZW6WZaq,4042.74
rTCPi6yqvHEp,4016.91
c6lgpF3qIWva,4016.91
Zaov8cN2lndJ,4016.91
ynpJmjeGaUp0,3979.55
xw4OGBREjJ2X,3979.55
TVQMjkj7NJWM,3979.55
9eQF22Ttk6GJ,3979.55
5FC3EkPrNenP,3979.55
x1km0QMHvgAB,3899.0
L2cFJJ3UNriF,3899.0
C3GPQm5ANgzl,3899.0
39IOPuAt0wUv,3899.0
43t3NXJHVe0b,3826.8
nGKL8vTznBrp,3792.59
jX5n5F6R3Wpu,3736.22
zBpkhkqyu8GP,3666.42
ZFq8qOAH5cs4,3666.42
0RuElIt5nlY9,3666.42
jOhPLcqysVkQ,3602.47
rNnJEHnxJU9A,3526.46
CfoTf3E6gKjD,3526.46
PscRH0kRI6vR,3406.47
tnE3TdiGot6y,3358.24
aw8glNhxlTUg,3358.24
OFyDQnUo41Hg,3358.24
E4WK3290AvOh,3358.24
5qA2NxmBdyYl,3358.24
xdfxQkpj1eKr,3256.14
uglFFO2LhTQk,3256.14
tKpvUYz9sf2e,3256.14
eiu0epKaePeS,3256.14
LW7jOUQsTDWw,3256.14
1YuZ9jUsr8Sb,3256.14
Mi93YQ26qL2N,3242.84
FOXua9ILyXHK,3242.84
aYP4tDaXdTc6,3209.72
UaaamaXukt3h,3184.55
H5FpjC94rwbg,3184.55
OSToCbRwH4l5,3184.34
DvK54gg0oGGa,3155.82
3QnWtoHu267e,3155.82
RPPRaIBR8My1,3126.5
wgj4ZvQk9rOJ,3122.72
cJU2H7FjjKiY,3076.13
zrOfEzeC3NZS,3048.27
vtagvKkvZpLj,3048.27
musSkaau7B7t,3048.27
kx8gkIPwgMml,3048.27
jWFx7I5e9IhB,3048.27
hw0YWH3GIzNT,3048.27
biQFPLfcaLgo,3048.27
UkRbZNI1jVXE,3048.27
0p5uIH1HzL8o,3048.27
GZ866rsVnLZq,3041.73
wC0BDHAstEqN,3024.08
b1peQ9XyEZ6i,3024.08
BRa4d3QEPKEA,3018.6
tm9oM4YPw57O,3016.01
poNkt9MhKN7X,3016.01
bry2L3vvWpEJ,3016.01
VVlDehqpkhYm,3016.01
VBVu9DeU52WB,3016.01
UukoqFFnl7Fk,3016.01
OGeKp6EQ4jgg,3016.01
Lg8ea4WZ9WLD,3016.01
8IHNR5c54hci,3016.01
2AeWdoReiZyq,3016.01
wPrydMXoRkAf,3009.53
kSoHzbViRklm,3009.53
XLr3cCDwah6h,3009.53
zlJjvXW5VbiW,3005.06
qtjKynqmmKuY,3005.06
pWAuPfSYnNZb,3005.06
jgtxxPavTkN3,3005.06
atUnwM5NfTj0,3005.06
OcR2FpfkETQa,3005.06
4vdHm6ylU4xS,3005.06
P0DXqdavuOKR,2960.05
OhX3xCQ9vDZI,2960.05
GvJKlDWt1qcs,2960.05
8XFy8ybRY14m,2960.05
qQRzsD7yBbeJ,2938.17
BLeSsG2S1vzv,2938.17
056dDK8yQB7P,2938.17
x3tIh9nh63RQ,2913.47
rEetPLbzIIJZ,2844.96
8vcWHg9prEkY,2828.42
h0AqQJmzm4Zi,2827.0
SbAWyMnwfM64,2827.0
QGc5jUEokXmM,2827.0
WGYTVv9fmFEI,2818.74
YKpSlVyBckcb,2794.5
HPn6AeIxzhnN,2794.5
Afunih0oQRid,2794.5
zqWOTZI8QCtu,2784.16
xyos2j2LUKQh,2784.16
w3YzPRry3fLe,2784.16
pHgBPqSGmCYg,2784.16
lwuaIMQu7U4n,2784.16
iNVZ1KwIwKVn,2784.16
ejsOMBE09tD4,2784.16
cbvD0z9nLoNp,2784.16
XFREbk3HCOqv,2784.16
SOUvNrcU8EtD,2784.16
PgVmK46klYON,2784.16
LawEgNmTxYcP,2784.16
Ji57E7KonaZi,2784.16
GZcRKxmRuMO1,2784.16
FwxKFU2XR2Ea,2784.16
BybeeNnac9qt,2784.16
8LZ2w8hGcqfc,2784.16
xPpGLOTi3S7Y,2759.95
x72UITWZ7JX9,2759.95
uqCUB2mTXtlt,2759.95
tOwU0QMfZbhP,2759.95
t8NkotDppJZN,2759.95
sy5VqVT3xVJl,2759.95
rEvKJaI2b6sk,2759.95
qp7UiAhxJo9u,2759.95
qfdsZbX5Zndo,2759.95
pIhVYRNxGK8y,2759.95
otqaMlp5S2ZH,2759.95
olouAHZsM3Or,2759.95
