month,total_orders,completed_orders,completion_rate,avg_shipping_cost
2016-10,289,256,88.5813148788927,47.838359375
2016-12,1,1,100.0,61.32
2017-01,857,824,96.1493582263711,46.4449514563107
2017-02,1534,1467,95.632333767927,46.2350306748466
2017-03,2392,2316,96.8227424749164,48.1137392055268
2017-04,2156,2042,94.7124304267161,45.6904064642507
2017-05,3407,3301,96.8887584385089,46.3202847621933
2017-06,2953,2884,97.6633931594988,43.6152427184466
2017-07,3781,3699,97.831261571013,45.0038307650716
2017-08,4028,3942,97.8649453823237,44.5583384069
2017-09,3937,3864,98.1457962915926,43.7640864389234
2017-10,4258,4166,97.8393612024425,45.1449879980797
2017-11,6840,6694,97.8654970760234,44.8726979384523
2017-12,4981,4883,98.0325235896406,43.5224575056318
2018-01,6463,6326,97.8802413739749,42.7807445463168
2018-02,6069,5957,98.1545559400231,44.8146936377371
2018-03,6508,6352,97.6029502151199,42.3894852015113
2018-04,6200,6096,98.3225806451613,41.8841896325459
2018-05,6163,6069,98.4747687814376,42.6477014335146
2018-06,5510,5471,99.2921960072595,43.3008078961799
2018-07,5430,5335,98.2504604051565,45.2675388940956
2018-08,5555,5483,98.7038703870387,46.5005453219041
